Name,type,RA,Dec,Mv,Mstar,Re,Sig
NGC3115,1,151.308242,-7.718581,-20.7,6.41E+10,1545.3,219.8
NGC4169,1,183.078417,29.179294,-22.1,2.02E+11,4864.1,221.8
NGC4594,1,189.997633,-11.623054,-23.4,5.06E+11,8128.3,219.8
NGC5380,1,209.236117,37.610417,-20.5,4.91E+10,1071.5,158.1
IC0560,1,146.472656,-0.268221,-19.2,9.89E+09,1879.9,83.2
IC0598,1,153.202423,43.145546,-19.7,1.25E+10,1546.5,100.2
IC0676,1,168.165909,9.055736,-19.4,1.38E+10,2968.3,66.8
IC0719,1,175.077042,9.009861,-19.8,3.39E+10,1516.8,85.9
IC1024,1,217.863419,3.009107,-18.9,1.10E+10,1404.1,59.2
IC3631,1,189.950195,12.973927,-19.1,3.88E+09,2348.7,54.1
NGC0448,1,18.818876,-1.626105,-20.1,2.07E+10,1436.8,97.3
NGC0474,1,20.027901,3.41527,-21,8.59E+10,4441.5,167.1
NGC0502,1,20.731415,9.049169,-20.1,2.62E+10,2515.8,127.9
NGC0509,1,20.850327,9.433469,-19,1.02E+10,2305.6,61.9
NGC0516,1,21.033607,9.551668,-19.3,1.07E+10,2332.9,55.3
NGC0524,1,21.198778,9.538793,-21.8,1.48E+11,4139.3,243.2
NGC0525,1,21.220442,9.70324,-19,1.47E+10,1591.2,89.9
NGC0661,1,26.060976,28.705988,-20.3,8.00E+10,2406,190.1
NGC0680,1,27.447035,21.970827,-21.3,9.75E+10,3152.1,207
NGC0770,1,29.80685,18.954695,-19.7,1.35E+10,1280.1,110.9
NGC0821,1,32.088123,10.99487,-21.1,1.02E+11,3942.7,199.5
NGC0936,1,36.90609,-1.15628,-21.9,1.25E+11,5752,195.9
NGC1023,1,40.100052,39.063251,-21.1,6.58E+10,1891.9,207
NGC1121,1,42.663387,-1.73404,-19.8,2.77E+10,1115.2,171.8
NGC1222,1,47.236446,-2.955212,-19.8,1.05E+10,2489,69.2
NGC1248,1,48.202328,-5.224674,-20,1.66E+10,2072.3,92.3
NGC1266,1,49.00312,-2.42737,-20,2.58E+10,2762.1,78.9
NGC1289,1,49.707592,-1.973354,-20.5,4.57E+10,3183.5,135.8
NGC1665,1,72.071098,-5.427655,-20.7,3.57E+10,4566.7,99.8
NGC2549,1,124.743111,57.803108,-19.5,2.08E+10,1136.3,149.3
NGC2577,1,125.681137,22.55304,-20.5,7.76E+10,2350.3,208.9
NGC2592,1,126.783669,25.970339,-20,4.76E+10,1477.5,242.1
NGC2679,1,132.887192,30.865419,-19.9,2.17E+10,3692.6,96.2
NGC2685,1,133.894791,58.734409,-19.9,1.53E+10,1787.7,93.8
NGC2695,1,133.612778,-3.067101,-20.7,7.43E+10,2635.6,219.8
NGC2698,1,133.902222,-3.183882,-20.4,6.67E+10,1623.8,226.5
NGC2699,1,133.953415,-3.127507,-19.8,2.28E+10,1412.1,151.7
NGC2764,1,137.072983,21.443447,-20.3,4.35E+10,2846.2,89.9
NGC2768,1,137.906265,60.037209,-21.8,3.42E+11,6339.1,202.3
NGC2778,1,138.101639,35.027424,-19.3,3.05E+10,1655.3,164.1
NGC2824,1,139.759277,26.269999,-20,1.42E+10,1581.9,134
NGC2859,1,141.077286,34.513378,-21.2,8.91E+10,3613.6,178.6
NGC2880,1,142.394241,62.49062,-20.1,3.28E+10,2118.1,141.3
NGC2950,1,145.646317,58.851219,-20,2.67E+10,1213.2,169.8
NGC2962,1,145.224609,5.16582,-21.1,1.25E+11,4786.9,175.4
NGC2974,1,145.638611,-3.699116,-20.7,1.27E+11,2797.2,237.1
NGC3032,1,148.034119,29.236279,-19.1,7.10E+09,1986,96.2
NGC3073,1,150.216843,55.618935,-18.9,6.40E+09,3202.2,56.9
NGC3098,1,150.569458,24.711092,-19.8,2.15E+10,1149,109.1
NGC3156,1,153.171692,3.12932,-19.2,8.61E+09,1910,68.9
NGC3193,1,154.603683,21.893978,-21.7,1.34E+11,4409.6,199.1
NGC3226,1,155.862549,19.898439,-20.3,9.84E+10,4087.1,177.8
NGC3230,1,155.93309,12.567883,-21.3,1.26E+11,3313.1,200.9
NGC3245,1,156.826523,28.507435,-20.8,5.77E+10,2291.2,209.9
NGC3248,1,156.93927,22.84717,-19.5,1.68E+10,2320.1,97.7
NGC3301,1,159.233459,21.882166,-20.4,2.37E+10,2058.3,124.7
NGC3377,1,161.926666,13.98564,-19.9,2.76E+10,2060.6,145.5
NGC3379,1,161.956665,12.58163,-20.9,6.44E+10,2351.9,213.3
NGC3384,1,162.070404,12.6293,-20.6,3.13E+10,2002.9,161.4
NGC3412,1,162.722137,13.412142,-19.6,9.31E+09,1592.1,105.2
NGC3414,1,162.817673,27.974968,-21.1,1.10E+11,3620.3,231.7
NGC3457,1,163.702591,17.621157,-19,5.09E+09,1137,77.4
NGC3458,1,164.006042,57.11697,-20.2,3.79E+10,1407.8,179.1
